Arret,Latitude,Longitude, Altitude: (m.), E: (m.), N: (m.), Z: (m.), Height (MSL): (m.)
Pape Gueye Fall(Terminus),14.67649977,-17.44037181,34.06,237184.436,1623950.526,34.06,4.69
Grande mosquée,14.68253299,-17.44422745,19.88,236766.75,1624643.317,19.88,-9.48
Place de la nation,14.69586242,-17.45034971,24.74,236087.988,1626166.354,24.74,-4.6
Dial Diop,14.69935752,-17.45341777,35.75,235875.043,1626413.802,35.75,6.42
Grand Dakar,14.70448154,-17.45780158,47.5,235285.084,1627156.374,47.5,18.19
Liberte 1,14.70930283,-17.46189453,39.12,234894.026,1627636.485,39.12,9.82
Sacre cur,14.71688407,-17.46649113,90.6,234416.523,1628501.649,90.6,61.32
Liberte 5,14.72077324,-17.46426514,68.62,234641.189,1628870.671,68.62,39.33
"Liberte 6,",14.72604428,-17.45938191,54.99,234989.484,1629256.756,54.99,25.68
Khar yalla,14.73435544,-17.45607764,48.55,235526.198,1630190.003,48.55,19.21
Scat Urbam,14.73701297,-17.45519144,48.53,235662.041,1630681.057,48.53,19.19
Cardinal Hyacinthe Thiandoum,14.7414994,-17.45161274,40.7,235945.636,1631057.617,40.7,11.34
Grand Medine,14.74769783,-17.44481356,37.9,236841.255,1631898.916,37.9,8.5
Police Parcelle,14.7508663,-17.43938508,41.09,236955.278,1631904.898,41.09,11.68
Croisement 22,14.75372256,-17.43359951,50.7,237907.088,1632448.648,50.7,21.25
Parcelles Assainies,14.76196789,-17.42544116,49.71,238630.607,1633049.138,49.71,20.23
Ndingala,14.76444351,-17.42032856,40.91,239421.264,1633665.807,40.91,11.39
Golf Sud,14.76702844,-17.41413229,40.81,239864.44,1633833.176,40.81,11.27
Dalal Diam,14.77104687,-17.40867345,41.07,240711.967,1634396.357,41.07,11.5
Fith mith,14.77526764,-17.4061966,35.37,240951.572,1634851.898,35.37,5.79
Golf Nord,14.77628873,-17.39874471,40.42,241446.733,1634902.031,40.42,10.81
Gueule Tapee,14.77583598,-17.39251895,53.1,242374.621,1634940.755,53.1,23.46
Terminus Guédiawaye,14.77230419,-17.38721353,46.41,242964.476,1634529.925,46.41,16.75
